ID,PointName,Meta:State,Brick:L1PointClass,Brick:PointClass,Subpart:EntityClassL0,Subpart:EntityClassL1,Haystack:Markers,Haystack:CustomMarkers,Haystack:FunctionMarker,Haystack:PointHisParameters,,,,,
,Command,Base,Command,Command,,,,,cmd,hisMode:sampled,,,,,
,Sensor,Base,Sensor,Sensor,,,,,sensor,hisMode:sampled,,,,,
,Alarm,Base,Alarm,Alarm,,,,,alarm,hisMode:sampled,,,,,
,Status,Base,Status,Status,,,,,status,hisMode:sampled,,,,,
,Setpoint,Base,Setpoint,Setpoint,,,,,sp,hisMode:sampled,,,,,
1aaf76e5,Run Command,Base,Command,On_Off_Command,,,run,,cmd,hisMode:sampled,,,,,
327c9834,Run Status,Base,Status,On_Off_Status,,,run,,sensor|sp,hisMode:sampled,,,,,
0afd124b,Enable Command,Base,Command,Enable_Command,,,enable,,cmd,hisMode:sampled,,,,,
0b3b58b7,Enable Status,Base,Status,Enable_Status,,,enable,,sensor|sp,hisMode:sampled,,,,,
ea59c4da,Mode,Base,Status,Mode_Status,,,run,mode,sp,hisMode:sampled,,,,,
bc594662,Operation Mode,Base,Status,Operating_Mode_Status,,,,"operation, mode",sensor|sp,hisMode:sampled,,,,,
54ef3e49,Occupancy Command,Base,Command,Occupancy_Command,,,occupied,,cmd|sp,hisMode:sampled,,,,,
e2c871ae,Occupancy Status,Base,Status,Occupancy_Status,,,occupied,,sensor|sp,hisMode:sampled,,,,,
59630908,Occupancy Mode,Base,Status,Occupied_Mode_Status,,,occupied,mode,sp,hisMode:sampled,,,,,
ffb7d7d4,Override Status,Base,Status,Overridden_Status,,,,override,sp,hisMode:sampled,,,,,
1926a16b,Override Command,Base,Command,Override_Command,,,,override,cmd|sp,hisMode:sampled,,,,,
c98599a5,Overridden On Status,Base,Status,Overridden_On_Status,,,,"override, on",sp,hisMode:sampled,,,,,
91bec708,Overridden Off Status,Base,Status,Overridden_Off_Status,,,,"override, off",sp,hisMode:sampled,,,,,
4e24f618,Emergency Mode Command,Base,Command,Operating_Mode_Command,,,enable,"emergency, mode",cmd|sp,hisMode:sampled,,,,,
b46c5b92,Run Request,Base,Status,Run_Request_Status,,,run,call,sensor|sp,hisMode:sampled,,,,,
4db08720,Fault Status | Alarm Status,Base,Status,Fault_Status,,,,fault,sensor|sp,hisMode:sampled,,,,,
cf1423e5,Connection Alarm | Communication Alarm,Base,Alarm,Communication_Loss_Alarm,,,,,,hisMode:sampled,,,,,
1e60c515,Thermal Power,Base,Sensor,Thermal_Power_Sensor,,,power,thermal,sp,hisMode:sampled,,,,,
84715cf5,Electrical Power,Base,Sensor,Electrical_Power_Sensor,,,"elec, power",,sp,hisMode:sampled,,,,,
